ticker,n_trades,win_rate_pct,wr_target_pct,rank_old,rank_new
ABCB4.SA,396.0,66.66666666666666,45.707070707070706,67.3,66.1
ABEV3.SA,217.0,67.74193548387096,51.1520737327189,67.5,66.7
AGRO3.SA,33.0,36.36363636363637,27.27272727272727,62.5,56.3
ALUP11.SA,273.0,66.30036630036629,52.74725274725275,67.3,66.4
ALZR11.SA,173.0,58.95953757225434,65.89595375722543,66.1,64.9
ASAI3.SA,92.0,63.04347826086957,35.869565217391305,66.8,64.6
AXIA3.SA,416.0,67.3076923076923,34.375,67.4,65.7
AXIA6.SA,416.0,71.63461538461539,39.66346153846153,68.1,67.3
BBAS3.SA,433.0,69.5150115473441,44.34180138568129,67.8,66.9
BBDC4.SA,19.0,57.89473684210527,31.57894736842105,65.9,62.8
BBSE3.SA,83.0,63.85542168674698,46.98795180722892,66.9,65.4
BCIA11.SA,162.0,69.75308641975309,62.34567901234568,67.8,67.9
BEEF3.SA,353.0,70.25495750708215,35.41076487252124,67.9,66.7
BPAC11.SA,227.0,73.12775330396477,42.731277533039645,68.4,67.9
BRCO11.SA,143.0,74.82517482517483,72.02797202797203,68.6,69.8
BRCR11.SA,95.0,60.0,66.3157894736842,66.3,65.2
BRKM5.SA,23.0,43.47826086956522,17.391304347826086,63.6,57.9
BRSR6.SA,378.0,69.31216931216932,44.44444444444444,67.8,66.8
BTC-USD,245.0,71.83673469387755,34.285714285714285,68.2,67.1
BTLG11.SA,226.0,57.52212389380531,65.929203539823,65.9,64.4
CMIG4.SA,57.0,59.64912280701754,33.33333333333333,66.2,63.4
CPFE3.SA,408.0,67.64705882352942,51.470588235294116,67.5,66.7
CPTS11.SA,75.0,72.0,82.66666666666667,68.2,69.5
CRO-USD,41.0,63.41463414634146,12.195121951219512,66.8,63.5
CSAN3.SA,391.0,70.076726342711,41.94373401534527,67.9,66.9
CSMG3.SA,266.0,68.42105263157895,46.616541353383454,67.6,66.7
CSNA3.SA,42.0,66.66666666666666,21.428571428571427,67.3,64.9
CURY3.SA,151.0,62.913907284768214,35.099337748344375,66.7,64.5
CVCB3.SA,279.0,72.04301075268818,37.634408602150536,68.2,67.3
CXSE3.SA,112.0,69.64285714285714,57.14285714285714,67.8,67.6
CYRE3.SA,26.0,65.38461538461539,23.076923076923077,67.1,64.6
DIRR3.SA,214.0,65.88785046728972,34.57943925233645,67.2,65.3
DOGE-USD,43.0,65.11627906976744,2.3255813953488373,67.1,63.5
ECOR3.SA,69.0,60.86956521739131,43.47826086956522,66.4,64.3
EGIE3.SA,192.0,66.14583333333334,40.10416666666667,67.2,65.7
ENGI11.SA,295.0,67.11864406779661,49.49152542372882,67.4,66.4
EQTL3.SA,424.0,72.87735849056604,55.188679245283026,68.3,68.4
ETH-USD,208.0,66.34615384615384,25.48076923076923,67.3,65.0
EZTC3.SA,407.0,68.7960687960688,42.26044226044226,67.7,66.6
FLRY3.SA,299.0,68.22742474916387,45.1505016722408,67.6,66.6
GGBR4.SA,94.0,64.8936170212766,37.234042553191486,67.0,65.2
GGRC11.SA,179.0,61.452513966480446,66.4804469273743,66.5,65.6
GOAU4.SA,300.0,67.33333333333333,28.666666666666668,67.4,65.5
GRND3.SA,73.0,67.12328767123287,39.726027397260275,67.4,66.0
HAPV3.SA,143.0,65.03496503496503,39.86013986013986,67.1,65.3
HFOF11.SA,147.0,66.66666666666666,69.38775510204081,67.3,67.3
HGBS11.SA,239.0,63.59832635983263,67.36401673640168,66.8,66.3
HGLG11.SA,47.0,55.319148936170215,51.06382978723404,65.5,63.0
HGPO11.SA,53.0,54.71698113207547,52.83018867924528,65.4,62.9
HGRE11.SA,37.0,35.13513513513514,43.24324324324324,62.3,56.7
HSML11.SA,147.0,68.70748299319727,69.38775510204081,67.7,67.9
IGTI11.SA,115.0,66.08695652173913,51.30434782608696,67.2,66.2
IRDM11.SA,99.0,71.71717171717171,71.71717171717171,68.1,68.9
IRIM11.SA,93.0,66.66666666666666,67.74193548387096,67.3,67.2
ISAE4.SA,365.0,68.76712328767123,53.97260273972603,67.7,67.2
ITSA4.SA,40.0,60.0,32.5,66.3,63.5
ITUB4.SA,100.0,56.99999999999999,34.0,65.8,62.7
IVVB11.SA,217.0,67.2811059907834,62.21198156682027,67.4,67.1
JHSF3.SA,272.0,65.44117647058823,29.044117647058826,67.1,64.9
KFOF11.SA,140.0,72.85714285714285,60.71428571428571,68.3,68.7
KLBN11.SA,243.0,69.54732510288066,49.794238683127574,67.8,67.2
KNCR11.SA,106.0,51.886792452830186,64.15094339622641,65.0,62.7
KNHY11.SA,44.0,45.45454545454545,47.72727272727273,63.9,60.0
KNRI11.SA,249.0,68.67469879518072,71.4859437751004,67.7,68.0
KNSC11.SA,99.0,56.56565656565656,74.74747474747475,65.7,64.6
LAVV3.SA,137.0,78.1021897810219,55.47445255474452,69.2,70.0
LEVE3.SA,107.0,69.1588785046729,48.598130841121495,67.7,67.0
LREN3.SA,425.0,67.52941176470588,37.64705882352941,67.5,66.0
LTC-USD,94.0,68.08510638297872,25.53191489361702,67.6,65.5
LVBI11.SA,120.0,60.83333333333333,60.83333333333333,66.4,65.2
MBRF3.SA,75.0,56.00000000000001,18.666666666666668,65.6,61.6
MDIA3.SA,375.0,69.06666666666666,46.93333333333333,67.7,66.9
MGLU3.SA,293.0,75.76791808873719,38.225255972696246,68.8,68.4
MLAS3.SA,90.0,68.88888888888889,30.0,67.7,66.0
MULT3.SA,191.0,74.86910994764398,50.78534031413613,68.6,68.8
MXRF11.SA,201.0,54.72636815920397,71.14427860696517,65.4,63.9
NEOE3.SA,147.0,68.02721088435374,55.78231292517006,67.6,67.0
ODPV3.SA,400.0,71.75,45.5,68.1,67.6
PETR4.SA,72.0,70.83333333333334,47.22222222222222,68.0,67.4
POMO4.SA,426.0,71.12676056338029,41.07981220657277,68.0,67.2
PRIO3.SA,331.0,71.29909365558912,35.95166163141994,68.1,67.0
PSSA3.SA,468.0,70.51282051282051,50.21367521367522,67.9,67.5
PVBI11.SA,127.0,65.35433070866141,64.56692913385827,67.1,66.7
RADL3.SA,379.0,68.07387862796834,45.91029023746702,67.6,66.5
RAIL3.SA,57.0,71.9298245614035,40.35087719298245,68.2,67.4
RAIZ4.SA,73.0,68.4931506849315,42.465753424657535,67.6,66.5
RANI3.SA,28.0,53.57142857142857,14.285714285714285,65.2,60.7
RBRF11.SA,145.0,68.27586206896552,64.82758620689654,67.6,67.5
RBRX11.SA,76.0,80.26315789473685,76.31578947368422,69.5,71.7
RCRB11.SA,109.0,66.97247706422019,58.71559633027523,67.4,66.9
RENT3.SA,84.0,73.80952380952381,29.761904761904763,68.5,67.4
SANB11.SA,369.0,67.47967479674797,46.070460704607044,67.5,66.4
SAPR11.SA,204.0,71.07843137254902,56.86274509803921,68.0,68.0
SBSP3.SA,55.0,52.72727272727272,23.636363636363637,65.1,60.9
SLCE3.SA,350.0,67.14285714285714,46.0,67.4,66.3
SMTO3.SA,408.0,66.91176470588235,44.6078431372549,67.4,66.1
SOL-USD,10.0,60.0,0.0,66.3,61.9
SUZB3.SA,174.0,68.96551724137932,44.252873563218394,67.7,66.7
SYNE3.SA,22.0,59.09090909090909,22.727272727272727,66.1,62.7
TAEE11.SA,360.0,68.61111111111111,57.77777777777777,67.6,67.3
TCSA3.SA,177.0,62.71186440677966,28.8135593220339,66.7,64.1
TGMA3.SA,433.0,71.36258660508084,42.032332563510394,68.1,67.3
TIMS3.SA,55.0,61.81818181818181,25.454545454545453,66.6,63.7
TRXF11.SA,107.0,51.4018691588785,66.35514018691589,64.9,62.6
UGPA3.SA,334.0,70.35928143712576,48.20359281437126,67.9,67.3
UNIP6.SA,76.0,55.26315789473685,35.526315789473685,65.5,62.2
USIM5.SA,230.0,67.3913043478261,25.65217391304348,67.4,65.3
