ticker,n_trades,n_years,win_rate,win_rate_target,win_rate_target_robust,pct_exit_take,pct_exit_stop,pct_exit_time,ret_total,ret_ann_pct,bh_ann_pct,alpha_ann_pp,mdd_pct,sharpe,big_wins_pct,big_losses_pct,wr_non_target_pp,wr_non_target_robust_pp
RBRX11.SA,76,26.8,78.95,81.58,81.58,81.58,18.42,0.0,0.2814,0.93,1.31,-0.38,4.7,0.373,0.0,2.63,-2.6299999999999955,-2.6299999999999955
WIZC3.SA,136,26.8,77.21,72.79,72.79,72.79,27.21,0.0,4.2303,6.37,1.21,5.15,17.03,0.736,2.94,14.71,4.4199999999999875,4.4199999999999875
PETR4.SA,67,26.8,76.12,74.63,74.63,74.63,25.37,0.0,0.3012,0.99,12.12,-11.13,12.01,0.203,0.0,19.4,1.490000000000009,1.490000000000009
KFOF11.SA,136,26.8,75.0,76.47,76.47,76.47,23.53,0.0,0.7345,2.08,1.01,1.07,7.41,0.35,0.74,10.29,-1.4699999999999989,-1.4699999999999989
MULT3.SA,127,26.8,74.8,71.65,71.65,71.65,28.35,0.0,1.3025,3.16,6.95,-3.79,13.77,0.369,1.57,22.83,3.1499999999999915,3.1499999999999915
SLCE3.SA,47,26.8,74.47,65.96,65.96,65.96,34.04,0.0,0.8757,2.38,9.81,-7.44,12.22,0.424,6.38,25.53,8.510000000000005,8.510000000000005
BPAC11.SA,140,26.8,74.29,68.57,68.57,68.57,31.43,0.0,2.3646,4.63,11.14,-6.51,14.52,0.591,1.43,16.43,5.720000000000013,5.720000000000013
TGMA3.SA,202,26.8,74.26,63.86,63.86,63.86,36.14,0.0,9.2763,9.08,3.58,5.5,14.45,0.837,7.92,20.3,10.400000000000006,10.400000000000006
ETH-USD,31,26.8,74.19,45.16,45.16,45.16,54.84,0.0,1.3016,3.16,8.02,-4.86,12.88,0.4,29.03,25.81,29.03,29.03
CVCB3.SA,151,26.8,73.51,72.85,72.85,72.85,27.15,0.0,1.451,3.4,-5.87,9.27,13.63,0.387,0.0,21.19,0.6600000000000108,0.6600000000000108
BTC-USD,153,26.8,73.2,60.13,60.13,60.13,39.87,0.0,9.1625,9.04,21.04,-12.0,13.36,0.721,9.8,20.26,13.07,13.07
CYRE3.SA,18,26.8,72.22,44.44,44.44,44.44,55.56,0.0,0.391,1.24,14.16,-12.92,13.47,0.242,22.22,27.78,27.78,27.78
MLAS3.SA,36,26.8,72.22,61.11,61.11,61.11,38.89,0.0,0.559,1.67,-7.62,9.29,13.07,0.284,13.89,27.78,11.11,11.11
VIVT3.SA,165,26.8,72.12,71.52,71.52,71.52,28.48,0.0,0.6018,1.77,7.72,-5.94,17.93,0.139,0.0,18.79,0.6000000000000085,0.6000000000000085
RENT3.SA,75,26.8,72.0,64.0,64.0,64.0,36.0,0.0,1.0604,2.73,16.78,-14.05,14.04,0.332,4.0,22.67,8.0,8.0
WEGE3.SA,39,26.8,71.79,71.79,71.79,71.79,28.21,0.0,0.2039,0.69,17.02,-16.32,14.4,0.059,0.0,25.64,0.0,0.0
CURY3.SA,81,26.8,71.6,66.67,66.67,66.67,33.33,0.0,0.741,2.09,6.9,-4.81,13.15,0.286,3.7,25.93,4.929999999999993,4.929999999999993
BRCO11.SA,143,26.8,71.33,76.22,76.22,76.22,23.78,0.0,0.2365,0.8,1.47,-0.68,11.05,0.104,0.0,5.59,-4.890000000000001,-4.890000000000001
KLBN11.SA,45,26.8,71.11,71.11,71.11,71.11,28.89,0.0,0.1633,0.57,4.32,-3.75,15.1,0.084,0.0,26.67,0.0,0.0
UGPA3.SA,128,26.8,71.09,71.09,71.09,71.09,28.91,0.0,0.3907,1.24,6.82,-5.58,13.11,0.121,0.0,23.44,0.0,0.0
VINO11.SA,117,26.8,70.94,72.65,72.65,72.65,27.35,0.0,0.3108,1.02,-1.93,2.95,7.14,0.162,0.0,11.11,-1.710000000000008,-1.710000000000008
HAPV3.SA,78,26.8,70.51,67.95,67.95,67.95,32.05,0.0,0.55,1.65,-6.34,7.99,15.28,0.238,2.56,23.08,2.5600000000000023,2.5600000000000023
PSSA3.SA,328,26.8,70.43,67.99,67.99,67.99,32.01,0.0,3.5185,5.79,14.16,-8.37,12.21,0.482,1.22,19.51,2.440000000000012,2.440000000000012
LEVE3.SA,98,26.8,70.41,70.41,70.41,70.41,29.59,0.0,0.5463,1.64,8.11,-6.47,14.24,0.226,0.0,21.43,0.0,0.0
CSAN3.SA,337,26.8,70.33,66.77,66.77,66.77,33.23,0.0,6.2478,7.67,2.64,5.03,12.78,0.52,2.08,21.66,3.5600000000000023,3.5600000000000023
CSNA3.SA,37,26.8,70.27,59.46,59.46,59.46,40.54,0.0,0.2779,0.92,2.69,-1.77,14.87,0.169,5.41,24.32,10.809999999999995,10.809999999999995
VALE3.SA,80,26.8,70.0,68.75,68.75,68.75,31.25,0.0,0.1953,0.67,9.76,-9.1,14.54,0.031,0.0,25.0,1.25,1.25
SAPR11.SA,66,26.8,69.7,69.7,69.7,69.7,30.3,0.0,0.1135,0.4,5.11,-4.7,12.77,0.004,0.0,21.21,0.0,0.0
NEOE3.SA,151,26.8,69.54,74.17,74.17,74.17,25.83,0.0,1.3518,3.24,3.68,-0.44,10.26,0.532,0.66,13.91,-4.6299999999999955,-4.6299999999999955
RBRF11.SA,143,26.8,69.23,70.63,70.63,70.63,28.67,0.7,0.295,0.97,0.13,0.84,8.28,0.058,0.0,7.69,-1.3999999999999915,-1.3999999999999915
SUZB3.SA,13,26.8,69.23,53.85,53.85,53.85,46.15,0.0,0.0614,0.22,5.12,-4.9,16.03,0.05,15.38,23.08,15.380000000000003,15.380000000000003
KNRI11.SA,217,26.8,69.12,74.65,74.65,74.65,25.35,0.0,0.3771,1.2,2.61,-1.41,12.49,0.109,0.0,2.76,-5.530000000000001,-5.530000000000001
ALUP11.SA,178,26.8,69.1,69.1,69.1,69.1,30.9,0.0,0.7488,2.11,6.04,-3.93,13.15,0.209,0.0,16.29,0.0,0.0
BBSE3.SA,74,26.8,68.92,64.86,64.86,64.86,35.14,0.0,0.4079,1.28,6.81,-5.52,12.75,0.208,1.35,20.27,4.060000000000002,4.060000000000002
IVVB11.SA,198,26.8,68.69,70.2,70.2,70.2,29.8,0.0,0.1885,0.65,8.59,-7.95,12.73,-0.056,0.51,9.6,-1.5100000000000051,-1.5100000000000051
HSML11.SA,146,26.8,67.81,72.6,72.6,72.6,27.4,0.0,0.1763,0.61,1.23,-0.62,9.41,0.071,0.0,3.42,-4.789999999999992,-4.789999999999992
TIMS3.SA,37,26.8,67.57,48.65,48.65,48.65,51.35,0.0,0.64,1.86,9.6,-7.73,15.28,0.321,13.51,29.73,18.919999999999995,18.919999999999995
CXSE3.SA,107,26.8,67.29,67.29,67.29,67.29,32.71,0.0,0.3829,1.22,3.76,-2.55,9.8,0.109,0.93,19.63,0.0,0.0
GRND3.SA,64,26.8,67.19,59.38,59.38,59.38,40.62,0.0,0.6953,1.99,6.16,-4.17,12.8,0.326,4.69,25.0,7.809999999999995,7.809999999999995
CPTS11.SA,73,26.8,67.12,82.19,82.19,82.19,17.81,0.0,0.2753,0.91,27.98,-27.07,3.28,0.291,2.74,0.0,-15.069999999999993,-15.069999999999993
IRDM11.SA,97,26.8,67.01,74.23,74.23,74.23,24.74,1.03,0.1736,0.6,-0.43,1.03,6.23,0.119,1.03,3.09,-7.219999999999999,-7.219999999999999
ODPV3.SA,154,26.8,66.88,61.04,61.04,61.04,38.96,0.0,1.3683,3.27,9.47,-6.2,14.76,0.326,3.9,22.73,5.839999999999996,5.839999999999996
CRO-USD,12,26.8,66.67,25.0,25.0,25.0,75.0,0.0,0.4557,1.41,-0.36,1.77,23.49,0.219,58.33,33.33,41.67,41.67
SYNE3.SA,9,26.8,66.67,66.67,66.67,66.67,33.33,0.0,0.0149,0.06,10.54,-10.48,13.47,-0.029,0.0,33.33,0.0,0.0
RAIZ4.SA,45,26.8,66.67,62.22,62.22,62.22,37.78,0.0,0.1875,0.64,-8.81,9.45,12.51,0.075,4.44,33.33,4.450000000000003,4.450000000000003
RCRB11.SA,24,26.8,66.67,66.67,66.67,66.67,33.33,0.0,0.1875,0.64,0.02,0.63,12.88,0.298,0.0,8.33,0.0,0.0
IRIM11.SA,92,26.8,66.3,73.91,73.91,73.91,26.09,0.0,0.0977,0.35,-0.1,0.44,8.15,-0.033,0.0,6.52,-7.609999999999999,-7.609999999999999
RADL3.SA,169,26.8,66.27,63.91,63.91,63.91,36.09,0.0,1.2601,3.09,23.8,-20.71,12.82,0.283,1.78,23.08,2.3599999999999994,2.3599999999999994
