Date,ticker,recomendacao,potencial_pct,signal,estagio,close,entrada,saida,stop,alvo,cancelar,RR,pivot,r1,s1,rank,confidence,win_rate,wr_alvo,n_trades,wr_ci_lo,wr_ci_hi,stat_conf,universe,queda_max,regime,signal_ga
2026-04-24,PSSA3.SA,"PREMIUM
Fechou @51.88
ORDEM LIMITE @50.88
esperar recuo a partir do fechamento
Contexto: S2 Alta momentum
+9.3% alvo @55.62 (WR 87% / alvo 87%)
Stop @49.18 (-3.4%)
Cancelar se < MA50/S1 @50.07",+9.3%,buy,Stage 2 Alta - momentum,51.88,50.8824,51.88,49.176,55.6232,50.0743,2.8,51.67,52.19,51.36,98.7,84.1,87.1,87.1,31,71.1,94.9,CI [71-95%],PREMIUM,4.7,favoravel,hold
2026-04-24,VIVT3.SA,"PREMIUM
Fechou @40.18
PULLBACK EM ALTA: ordem limite @39.58
recuo controlado acima do Pivot @40.08
Contexto: S2 Alta pullback
+9.0% alvo @43.14 (WR 74% / alvo 76%)
Stop @38.56 (-2.6%)
Cancelar se < MA200 @35.39",+9.0%,buy,Stage 2 Alta - pullback,40.18,39.5792,40.18,38.5621,43.1374,35.389,3.5,40.0833,40.3966,39.8666,89.6,78.6,74.36,75.64,78,63.7,82.7,CI [64-83%],PREMIUM,5.6,favoravel,hold
2026-04-24,CSMG3.SA,"ALTA QUALIDADE
Fechou @57.32
ORDEM LIMITE @55.98
esperar recuo a partir do fechamento
Contexto: S2 Alta ideal
+8.8% alvo @60.90 (WR 78% / alvo 78%)
Stop @54.13 (-3.3%)
Cancelar se < MA50/S1 @55.84",+8.8%,buy,Stage 2 Alta - ideal,57.32,55.9804,57.32,54.1311,60.8996,55.8405,2.7,57.1667,57.9134,56.5734,88.1,83.5,77.55,77.55,49,64.1,87.0,CI [64-87%],HIGH_QUAL,14.5,favoravel,hold
2026-04-24,ITUB4.SA,"ALTA QUALIDADE
Fechou @44.37
PULLBACK EM ALTA: ordem limite @43.49
recuo controlado acima do Pivot @44.26
Contexto: S2 Alta pullback
+9.9% alvo @47.81 (WR 74% / alvo 78%)
Stop @42.46 (-2.4%)
Cancelar se < MA200 @38.69",+9.9%,buy,Stage 2 Alta - pullback,44.37,43.4871,44.37,42.4635,47.8117,38.6934,4.2,44.26,44.63,44.0,84.2,81.5,74.07,77.78,27,55.3,86.8,CI [55-87%],HIGH_QUAL,2.7,favoravel,hold
2026-04-24,TAEE11.SA,"ALTA QUALIDADE
Fechou @44.11
ABAIXO DO PIVOT: esperar confirmacao @44.19
setup montado, mas sem entrada agora; so comprar apos fechamento acima do Pivot
Contexto: S2 Alta ideal
+6.4% alvo @46.03 (WR 79% / alvo 83%)
Stop @42.17 (-2.5%)
Cancelar se < MA50/S1 @43.48",+6.4%,buy,Stage 2 Alta - ideal,44.11,43.2551,44.11,42.173,46.0333,43.4828,2.6,44.19,44.72,43.58,82.4,78.7,79.31,82.76,29,61.6,90.2,CI [62-90%],HIGH_QUAL,3.8,favoravel,hold
2026-04-24,VALE3.SA,"ALTA QUALIDADE
Fechou @85.87
ABAIXO DO PIVOT: esperar confirmacao @86.20
setup montado, mas sem entrada agora; so comprar apos fechamento acima do Pivot
Contexto: S2 Alta ideal
+6.4% alvo @89.64 (WR 72% / alvo 72%)
Stop @82.51 (-2.1%)
Cancelar se < MA50/S1 @83.56",+6.4%,buy,Stage 2 Alta - ideal,85.87,84.2375,85.87,82.5054,89.6398,83.5562,3.1,86.2033,86.6566,85.4166,80.0,78.4,72.41,72.41,29,54.3,85.3,low CI [54-85%],HIGH_QUAL,6.5,favoravel,hold
2026-04-24,BPAC11.SA,"Fechou @60.88
ORDEM LIMITE @59.35
esperar recuo a partir do fechamento
Contexto: S2 Alta momentum
+10.2% alvo @65.38 (WR 60% / alvo 60%)
Stop @57.58 (-3.0%)
Cancelar se < MA50/S1 @59.10",+10.2%,buy,Stage 2 Alta - momentum,60.88,59.3466,60.88,57.5759,65.3769,59.0954,3.4,60.7567,61.3634,60.2734,72.8,78.5,60.0,60.0,20,38.7,78.1,low CI [39-78%],REGULAR,10.5,favoravel,hold
2026-04-24,ALUP11.SA,"Fechou @34.50
PULLBACK EM ALTA: ordem limite @34.19
recuo controlado acima do Pivot @34.44
Contexto: S2 Alta pullback
+8.4% alvo @37.05 (WR 65% / alvo 65%)
Stop @33.47 (-2.1%)
Cancelar se < MA200 @32.37",+8.4%,buy,Stage 2 Alta - pullback,34.5,34.19,34.5,33.4653,37.051,32.3681,3.9,34.4433,34.6966,34.2466,70.6,74.7,65.0,65.0,20,43.3,81.9,low CI [43-82%],REGULAR,6.4,favoravel,hold
2026-04-24,TIMS3.SA,"Fechou @26.10
PULLBACK EM ALTA: ordem limite @25.64
recuo controlado acima do Pivot @26.09
Contexto: S2 Alta pullback
+10.0% alvo @28.22 (WR 66% / alvo 66%)
Stop @24.97 (-2.6%)
Cancelar se < MA200 @23.44",+10.0%,buy,Stage 2 Alta - pullback,26.1,25.644,26.1,24.9683,28.2175,23.4401,3.8,26.0867,26.2434,25.9434,70.4,74.4,66.4,65.6,125,57.7,74.1,CI [58-74%],REGULAR,20.7,favoravel,hold
2026-04-24,ODPV3.SA,"Fechou @14.89
ABAIXO DO PIVOT: esperar confirmacao @15.01
setup montado, mas sem entrada agora; so comprar apos fechamento acima do Pivot
Contexto: S2 Alta momentum
+10.7% alvo @16.16 (WR 63% / alvo 61%)
Stop @14.11 (-3.3%)
Cancelar se < MA50/S1 @13.83",+10.7%,buy,Stage 2 Alta - momentum,14.89,14.5981,14.89,14.111,16.1582,13.828,3.2,15.01,15.19,14.71,69.5,75.2,63.41,60.98,41,48.1,76.4,low CI [48-76%],REGULAR,20.2,favoravel,hold
2026-04-24,CMIG4.SA,"STATS CI95% 53-67% (lower bound < 55% - low confidence)
Fechou @13.05
ABAIXO DO PIVOT: esperar confirmacao @13.13
setup montado, mas sem entrada agora; so comprar apos fechamento acima do Pivot
Contexto: S2 Alta momentum
+7.9% alvo @13.85 (WR 60% / alvo 60%)
Stop @12.53 (-2.4%)
Cancelar se < MA50/S1 @12.36",+7.9%,buy,Stage 2 Alta - momentum,13.05,12.8392,13.05,12.5313,13.8494,12.3574,3.3,13.13,13.28,12.9,67.7,76.2,60.34,59.77,174,52.9,67.3,low CI [53-67%],REGULAR,18.2,favoravel,hold
