Date,ticker,close,signal_eod,score_100,confidence,best_buy_value,stop_loss,stop_pct,take_profit,take_pct,exit_rules,Channel Breakout_last5d,Channel Breakout_last20d,Double Top/Bottom_last5d,Double Top/Bottom_last20d,Head & Shoulders_last5d,Head & Shoulders_last20d,Triangle Breakout_last5d,Triangle Breakout_last20d,Wedge Breakout_last5d,Wedge Breakout_last20d,RSI_status,SMA_Cross_last5d
2026-03-17,SLCE3.SA,18.32,buy,99.0,90.9,18.1065,17.0522,5.82,19.1608,5.82,"Stop: -5.8% (2.0xATR, breakeven); Take: +5.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(3d),BULL(9d),BEAR(1d),MIXED(B1/S1),---,BEAR(1d),BULL(2d),BULL(9d),BULL(3d),BULL(9d),OVERBOUGHT(72),---
2026-03-17,RBRX11.SA,8.66,buy,91.3,85.4,8.6059,8.343,3.05,8.8688,3.05,"Stop: -3.0% (2.0xATR, breakeven); Take: +3.0% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(11d),---,BEAR(3d),---,---,BULL(1d),BULL(9d),BULL(2d),BULL(11d),NEUTRAL(58),---
2026-03-17,RADL3.SA,23.42,buy,17.9,74.9,23.0466,21.2795,7.67,24.8137,7.67,"Stop: -7.7% (2.0xATR, breakeven); Take: +7.7% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(3d),---,MIXED(B2/S2),---,BULL(2d),BULL(1d),BULL(4d),BULL(1d),BULL(3d),OVERSOLD(29),---
2026-03-17,HGRE11.SA,125.8,buy,31.0,73.0,125.0333,121.4747,2.85,128.5919,2.85,"Stop: -2.9% (2.0xATR, breakeven); Take: +2.9% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(5d),---,BEAR(2d),---,BEAR(1d),BULL(1d),BULL(5d),---,BULL(5d),NEUTRAL(36),---
2026-03-17,NEOE3.SA,33.14,buy,79.0,71.7,33.0966,32.8937,0.61,33.2995,0.61,"Stop: -0.6% (2.0xATR, breakeven); Take: +0.6% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(10d),---,MIXED(B1/S1),---,---,BULL(3d),MIXED(B10/S1),BULL(2d),BULL(10d),OVERBOUGHT(84),---
2026-03-17,WEGE3.SA,46.2,buy,34.5,68.4,45.5544,42.5701,6.55,48.5387,6.55,"Stop: -6.5% (2.0xATR, breakeven); Take: +6.5% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(3d),---,MIXED(B2/S1),---,BULL(2d),BULL(1d),BULL(4d),BULL(1d),BULL(3d),NEUTRAL(31),---
2026-03-17,HSML11.SA,94.79,buy,76.6,67.2,94.4166,92.688,1.83,96.1452,1.83,"Stop: -1.8% (2.0xATR, breakeven); Take: +1.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(9d),---,MIXED(B2/S2),---,BULL(2d),BULL(3d),BULL(9d),BULL(2d),BULL(9d),OVERBOUGHT(70),---
2026-03-17,BRKM5.SA,12.19,buy,84.5,65.9,11.8044,10.0315,15.02,13.5773,15.02,"Stop: -15.0% (2.0xATR, breakeven); Take: +15.0% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(1d),---,---,---,BULL(1d),BULL(2d),BULL(8d),BULL(1d),BULL(5d),NEUTRAL(60),---
2026-03-17,BRSR6.SA,17.16,buy,61.1,63.6,16.9062,15.7476,6.85,18.0648,6.85,"Stop: -6.8% (2.0xATR, breakeven); Take: +6.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(5d),---,MIXED(B1/S2),---,BEAR(1d),BULL(1d),BULL(5d),BULL(2d),BULL(5d),NEUTRAL(40),---
2026-03-17,BRCO11.SA,121.46,buy,38.1,63.1,120.585,116.6036,3.3,124.5664,3.3,"Stop: -3.3% (2.0xATR, breakeven); Take: +3.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,MIXED(B5/S1),BULL(1d),MIXED(B2/S1),---,BEAR(1d),BULL(1d),BULL(6d),---,MIXED(B5/S1),NEUTRAL(54),SMA5x20:DEATH
2026-03-17,ALUP11.SA,34.27,buy,34.7,63.0,33.8323,31.848,5.87,35.8166,5.87,"Stop: -5.9% (2.0xATR, breakeven); Take: +5.9% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(3d),BEAR(1d),MIXED(B2/S2),---,MIXED(B1/S1),BULL(1d),BULL(6d),BULL(1d),BULL(3d),NEUTRAL(39),---
2026-03-17,AGRO3.SA,22.26,buy,99.8,62.7,21.9889,20.6503,6.09,23.3275,6.09,"Stop: -6.1% (2.0xATR, breakeven); Take: +6.1% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(3d),BULL(8d),---,MIXED(B1/S1),---,MIXED(B1/S1),BULL(1d),BULL(6d),BULL(3d),BULL(8d),NEUTRAL(39),---
2026-03-17,CPTS11.SA,8.09,buy,47.2,62.2,8.0588,7.9159,1.77,8.2017,1.77,"Stop: -1.8% (2.0xATR, breakeven); Take: +1.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),MIXED(B9/S1),---,MIXED(B2/S2),---,BEAR(2d),---,BULL(6d),BULL(2d),MIXED(B9/S1),NEUTRAL(54),---
2026-03-17,CURY3.SA,36.3,buy,48.6,60.7,35.5669,32.2712,9.27,38.8626,9.27,"Stop: -9.3% (2.0xATR, breakeven); Take: +9.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(3d),---,BULL(1d),---,MIXED(B1/S1),BULL(1d),MIXED(B5/S1),---,BULL(3d),NEUTRAL(36),SMA20x50:DEATH
2026-03-17,RENT3.SA,44.62,buy,48.2,60.6,43.5485,38.7199,11.09,48.3771,11.09,"Stop: -11.1% (2.0xATR, breakeven); Take: +11.1% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(5d),---,BEAR(1d),---,MIXED(B2/S1),BULL(1d),BULL(5d),BULL(1d),BULL(5d),NEUTRAL(35),---
2026-03-17,ODPV3.SA,13.27,buy,48.6,58.8,12.9185,11.3342,12.26,14.5028,12.26,"Stop: -12.3% (2.0xATR, breakeven); Take: +12.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(3d),BULL(1d),MIXED(B1/S1),---,MIXED(B1/S1),BULL(2d),BULL(7d),---,BULL(5d),NEUTRAL(48),SMA5x20:DEATH
2026-03-17,ABEV3.SA,15.02,buy,53.4,58.6,14.847,14.0727,5.22,15.6213,5.22,"Stop: -5.2% (2.0xATR, breakeven); Take: +5.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(3d),BEAR(1d),MIXED(B1/S3),---,MIXED(B1/S1),BULL(1d),BULL(5d),BULL(1d),BULL(3d),OVERSOLD(30),SMA20x50:DEATH
2026-03-17,FLRY3.SA,15.49,buy,43.1,57.9,15.244,14.1383,7.25,16.3497,7.25,"Stop: -7.2% (2.0xATR, breakeven); Take: +7.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(1d),BEAR(1d),MIXED(B1/S2),---,MIXED(B1/S1),BULL(1d),MIXED(B4/S1),---,BULL(1d),OVERSOLD(29),---
2026-03-17,KNCR11.SA,105.01,buy,42.7,56.5,104.6759,103.1688,1.44,106.183,1.44,"Stop: -1.4% (2.0xATR, breakeven); Take: +1.4% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),MIXED(B5/S1),---,BULL(1d),---,BULL(1d),MIXED(B1/S1),MIXED(B8/S1),BULL(1d),MIXED(B5/S1),NEUTRAL(47),---
2026-03-17,MXRF11.SA,9.71,buy,52.6,56.4,9.6664,9.4678,2.05,9.865,2.05,"Stop: -2.0% (2.0xATR, breakeven); Take: +2.0% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(6d),---,BULL(2d),---,BULL(2d),BULL(2d),BULL(7d),BULL(2d),BULL(6d),NEUTRAL(54),---
2026-03-17,MLAS3.SA,1.29,buy,77.8,54.8,1.2665,1.1579,8.57,1.3751,8.57,"Stop: -8.6% (2.0xATR, breakeven); Take: +8.6% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(1d),---,MIXED(B1/S1),---,MIXED(B1/S1),BULL(1d),BULL(2d),---,BULL(2d),NEUTRAL(43),SMA50x100:DEATH
2026-03-17,USIM5.SA,6.62,buy,48.0,54.8,6.4946,5.9203,8.84,7.0689,8.84,"Stop: -8.8% (2.0xATR, breakeven); Take: +8.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(7d),---,MIXED(B1/S1),---,BULL(1d),BULL(2d),MIXED(B6/S1),BULL(2d),BULL(7d),NEUTRAL(47),---
2026-03-17,PVBI11.SA,79.26,buy,63.7,54.7,78.7069,76.2198,3.16,81.194,3.16,"Stop: -3.2% (2.0xATR, breakeven); Take: +3.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,MIXED(B6/S1),BULL(1d),MIXED(B1/S4),---,BULL(1d),BULL(1d),MIXED(B6/S1),---,MIXED(B6/S1),NEUTRAL(51),---
2026-03-17,LVBI11.SA,110.05,buy,49.8,54.4,109.6148,107.6462,1.8,111.5834,1.8,"Stop: -1.8% (2.0xATR, breakeven); Take: +1.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(9d),---,---,---,---,BULL(2d),BULL(8d),BULL(1d),BULL(9d),NEUTRAL(49),---
2026-03-17,SMTO3.SA,18.06,buy,62.5,54.3,17.6593,15.865,10.16,19.4536,10.16,"Stop: -10.2% (2.0xATR, breakeven); Take: +10.2% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(7d),---,BULL(2d),---,MIXED(B2/S1),BULL(3d),MIXED(B8/S1),BULL(1d),BULL(8d),NEUTRAL(58),SMA5x20:DEATH
2026-03-17,KNSC11.SA,8.95,buy,63.3,54.1,8.9014,8.6814,2.47,9.1214,2.47,"Stop: -2.5% (2.0xATR, breakeven); Take: +2.5% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(3d),BULL(7d),---,BULL(2d),---,BULL(2d),BULL(2d),MIXED(B8/S1),BULL(3d),BULL(7d),NEUTRAL(47),SMA20x50:DEATH
2026-03-17,UGPA3.SA,26.43,buy,53.6,53.8,26.0388,24.2888,6.72,27.7888,6.72,"Stop: -6.7% (2.0xATR, breakeven); Take: +6.7% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(3d),BULL(7d),BEAR(1d),MIXED(B2/S2),---,MIXED(B2/S1),BULL(1d),BULL(9d),BULL(3d),BULL(7d),NEUTRAL(49),"SMA5x20:DEATH, SMA20x50:DEATH"
2026-03-17,PETR4.SA,46.38,buy,82.7,52.2,45.7366,42.7952,6.43,48.678,6.43,"Stop: -6.4% (2.0xATR, breakeven); Take: +6.4% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(2d),BULL(12d),---,BEAR(2d),---,BEAR(1d),BULL(3d),BULL(9d),BULL(2d),BULL(12d),OVERBOUGHT(88),---
2026-03-17,ECOR3.SA,9.1,buy,45.8,52.2,8.9144,8.0801,9.36,9.7487,9.36,"Stop: -9.4% (2.0xATR, breakeven); Take: +9.4% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(1d),BULL(3d),BEAR(1d),BEAR(1d),---,---,BULL(1d),BULL(4d),BULL(1d),BULL(3d),OVERSOLD(25),SMA50x100:DEATH
2026-03-17,AXIA3.SA,57.76,buy,41.5,50.7,56.7159,52.0173,8.28,61.4145,8.28,"Stop: -8.3% (2.0xATR, breakeven); Take: +8.3% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(4d),BULL(1d),MIXED(B1/S2),---,---,BULL(1d),BULL(5d),---,BULL(4d),NEUTRAL(42),---
2026-03-17,ENGI11.SA,51.61,buy,73.2,50.6,50.8638,47.4095,6.79,54.3181,6.79,"Stop: -6.8% (2.0xATR, breakeven); Take: +6.8% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",---,BULL(5d),BULL(1d),MIXED(B3/S2),---,MIXED(B2/S1),BULL(1d),BULL(5d),---,BULL(5d),NEUTRAL(36),---
2026-03-17,BTLG11.SA,103.78,buy,61.7,49.6,103.3959,101.6759,1.66,105.1159,1.66,"Stop: -1.7% (2.0xATR, breakeven); Take: +1.7% (R:R 1.0:1); Tight: 0.8xATR apos 5d; TimeStop: 16d; HardStop: 2% gap",BULL(3d),MIXED(B10/S1),---,BULL(2d),---,---,BULL(2d),BULL(10d),BULL(3d),MIXED(B10/S1),NEUTRAL(68),---
